fiscal_year,quarter,organization_id,organization_name,service_provider_id,service_provider_name,service_provider_desc,service_id,service_name,service_provided,transaction_point,channel,rating,reflection,population_size,volume_of_customers_provided_survey_opportunity,volume_of_respondents,sample_size,question_id,question_text,strongly_disagree_num,disagree_num,neutral_num,agree_num,strongly_agree_num,strongly_agree_or_agree_num,point_scale,metric_category
2021,2,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,Field Assistance Appointment Service,When calling to schedule an appointment for face-to-face service.,computer,TRUE,"The third round of Economic Impact Payments (EIP 3) was authorized by the American Rescue Plan Act of 2021 on March 11, 2021. The IRS started issuing EIP 3 to eligible individuals on March 12, 2021, with more payments sent by direct deposit and through the mail as a check or debit card in the weeks that followed. As of early April the IRS issued about 156 million payments totaling approximately $372 billion. Pandemic related tax processing delays and inquiries related to EIPs continued to drive significantly higher than normal volumes on our online and toll-free service channels (at peak, more than 1,500 calls per second).",458852,77687,3507,3507,2,This interaction increased my trust in the IRS,316,105,386,596,2104,2700,4.16,trust
2021,2,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,IRS.gov Online Account,Random selection after successfully authenticating into the IRS Online Account application on a computer,computer,TRUE,"The third round of Economic Impact Payments (EIP 3) was authorized by the American Rescue Plan Act of 2021 on March 11, 2021. The IRS started issuing EIP 3 to eligible individuals on March 12, 2021, with more payments sent by direct deposit and through the mail as a check or debit card in the weeks that followed. As of early April the IRS issued about 156 million payments totaling approximately $372 billion. Pandemic related tax processing delays and inquiries related to EIPs continued to drive significantly higher than normal volumes on our online and toll-free service channels (at peak, more than 1,500 calls per second).",7833221,4074983,42874,42874,2,This interaction increased my trust in the IRS,5145,3001,11576,10719,12433,23152,3.52,trust
2021,2,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,IRS.gov,Random selection after visiting any IRS.gov PUP page on a computer. 50/50 split of being presented with main survey or beta survey,computer,TRUE,"The third round of Economic Impact Payments (EIP 3) was authorized by the American Rescue Plan Act of 2021 on March 11, 2021. The IRS started issuing EIP 3 to eligible individuals on March 12, 2021, with more payments sent by direct deposit and through the mail as a check or debit card in the weeks that followed. As of early April the IRS issued about 156 million payments totaling approximately $372 billion. Pandemic related tax processing delays and inquiries related to EIPs continued to drive significantly higher than normal volumes on our online and toll-free service channels (at peak, more than 1,500 calls per second).",216878115,13376809,106832,106831,2,I am satisfied with the service I received from IRS.gov.,18161,14956,37391,24571,11752,36323,2.97,trust
2021,2,2135,Department of the Interior,6,Bureau of Trust Funds Administration,"Bureau of Trust Funds Administration (BTFA) manages over $8.2 billion in monetary trust assets, and delivers trust funds accounting and management services to Indian trust beneficiaries.  BTFA’s trust responsibilities include holding funds for Tribes and funds for individuals (i.e., Individual Indian Monies (IIM) accounts). Tribal and Other Trust Funds are comprised of approximately 4,100 accounts with monetary assets of approximately $6.8 billion and over 408,000 Individual Indian Monies (IIM) accounts with monetary assets of approximately $1.4 billion. ",8,Contacting the Trust Beneficiary contact center,Customer Services to the beneficiaries of the Tribal and Individual trust funds managed by BTFA.,Trust Beneficiary Call Center,automated_phone,TRUE,"RESULTS: Surveys: Due to COVID 19 restrictions, the TBCC was not operating under normal business conditions duringQ1 and Q2. Therefore, surveys were suspended because we did not want to burden our Indian trust beneficiaries with responding to surveys. However, we resumed the daily customer satisfaction surveys on March 10, 2021. Operational Metrics: Unfortunately, the pandemic telework solution and temporary call management queue, that is being used for responding to incoming beneficiary inquiries, did not include the ability to capture performance metrics such as: speed to answer, call handle time and abandoned rate. Therefore, the performance metrics reported under Operational Metrics do not reflect actual performance for Q2. PAIN POINTS: As expected, the CSI overall satisfaction score was high (84). The drivers for this high score were Service, Transparency, Employee Helpfulness and Employee Effectiveness. Fortunately, TBCC Call Technicians and Agency staff were able to maintain beneficiary satisfaction by continuing to manage beneficiary expectations and providing callers with realistic timeframes for account updates and disbursements. Unexpectedly, for the Satisfaction, Trust, Ease and Efficiency A-11 Required Questions, the """"Strongly Disagree"""" response scores were higher than anticipated. These scores may be partially due to the pandemic telework solution and temporary call management queue, that is being used for responding to incoming beneficiary inquiries, which requires that the caller wait for a long period of time before their call is answered. (Sometimes 5 minutes or more). BTFA anticipates deploying a new incoming call management system within the next 30 days.",34829,1183,41,41,2,My interaction increased my confidence in the Office of the Special Trustee for American Indians.,9,1,9,8,14,22,3.41,trust
2021,2,2096,Department of Housing and Urban Development,11,Housing and Urban Development,"In 2020, the Department of Housing and Urban Development (HUD) provided rental assistance to approximately 4.6 million low-income households, including elderly residents, individuals with disabilities, and veterans.",15,Seeking information about FHA loan programs and loss mitigation services,FHA Resource Center,send a follow up email after a phone call,email,TRUE,,,,458,458,2,This interaction increased my confidence in the National Servicing Center.,93,41,71,97,156,253,3.4,trust
2021,2,2138,Department of Commerce,3,United States Patent and Trademark Office,"The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%.",5,Applying for a Patent,Patents customer support via phone,Within one week of call,phone,TRUE,"Patents' contact center survey now is used to capture feedback for all 7 contact centers and help desks within Patents. This past quarter, the overall customer satisfaction score for Patents contact centers and help desks was 84/100. Patents maintained a 10.8 point lead over the live agent service center industry benchmark and continued to exceed its internal target CSAT score of 82/100, which is included as a key metric in the U.S. Patent and Trademark Office (USPTO) balanced score card. Additionally, the authenticated website respondents' overall satisfaction decreased by 7 points from 73% to 67%; desktop respondents' overall satisfaction decreased by 5 points from 74 to 69%; and mobile respondents' overall satisfaction decreased by 5 points from 67% to 62%. There were a few significant outages or disruptions that may have impacted user perceptions across the entire digital environment in March. There may also have been seasonal reasons for the shift based on historical trend analysis. Patents observed that again the net promoter ratios for overall satisfaction slightly decreased for all surveys and most questions within the surveys, indicating more users moved out of the promoter group and into the neutral or detractor groups. Screen reader support enabled. ",65501,2189,1285,1286,2,"Please rate your confidence in USPTO as a result of this customer service experience.  (1=not at all confident, 10=very confident)",82,44,66,197,897,1094,4.39,trust
2021,2,2138,Department of Commerce,3,United States Patent and Trademark Office,"The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%.",5,Applying for a Patent,U.S. Patents desktop website,www.uspto.gov,computer,TRUE,"Patents' contact center survey now is used to capture feedback for all 7 contact centers and help desks within Patents. This past quarter, the overall customer satisfaction score for Patents contact centers and help desks was 84/100. Patents maintained a 10.8 point lead over the live agent service center industry benchmark and continued to exceed its internal target CSAT score of 82/100, which is included as a key metric in the U.S. Patent and Trademark Office (USPTO) balanced score card. Additionally, the authenticated website respondents' overall satisfaction decreased by 7 points from 73% to 67%; desktop respondents' overall satisfaction decreased by 5 points from 74 to 69%; and mobile respondents' overall satisfaction decreased by 5 points from 67% to 62%. There were a few significant outages or disruptions that may have impacted user perceptions across the entire digital environment in March. There may also have been seasonal reasons for the shift based on historical trend analysis. Patents observed that again the net promoter ratios for overall satisfaction slightly decreased for all surveys and most questions within the surveys, indicating more users moved out of the promoter group and into the neutral or detractor groups. Screen reader support enabled. ",6678523,1335705,952,961,2,This interaction increased my confidence in the USPTO.,67,57,276,276,285,561,3.68,trust
2021,2,2138,Department of Commerce,3,United States Patent and Trademark Office,"The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%.",5,Applying for a Patent,Authenticated login to USPTO website,myuspto.gov,computer,TRUE,"Patents' contact center survey now is used to capture feedback for all 7 contact centers and help desks within Patents. This past quarter, the overall customer satisfaction score for Patents contact centers and help desks was 84/100. Patents maintained a 10.8 point lead over the live agent service center industry benchmark and continued to exceed its internal target CSAT score of 82/100, which is included as a key metric in the U.S. Patent and Trademark Office (USPTO) balanced score card. Additionally, the authenticated website respondents' overall satisfaction decreased by 7 points from 73% to 67%; desktop respondents' overall satisfaction decreased by 5 points from 74 to 69%; and mobile respondents' overall satisfaction decreased by 5 points from 67% to 62%. There were a few significant outages or disruptions that may have impacted user perceptions across the entire digital environment in March. There may also have been seasonal reasons for the shift based on historical trend analysis. Patents observed that again the net promoter ratios for overall satisfaction slightly decreased for all surveys and most questions within the surveys, indicating more users moved out of the promoter group and into the neutral or detractor groups. Screen reader support enabled. ",8321242,673190,236,236,2,This interaction increased my confidence in the USPTO.,31,19,52,66,68,134,3.51,trust
2021,2,2138,Department of Commerce,3,United States Patent and Trademark Office,"The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%.",5,Applying for a Patent,U.S. Patents mobile website,Online survey,mobile,TRUE,"Patents' contact center survey now is used to capture feedback for all 7 contact centers and help desks within Patents. This past quarter, the overall customer satisfaction score for Patents contact centers and help desks was 84/100. Patents maintained a 10.8 point lead over the live agent service center industry benchmark and continued to exceed its internal target CSAT score of 82/100, which is included as a key metric in the U.S. Patent and Trademark Office (USPTO) balanced score card. Additionally, the authenticated website respondents' overall satisfaction decreased by 7 points from 73% to 67%; desktop respondents' overall satisfaction decreased by 5 points from 74 to 69%; and mobile respondents' overall satisfaction decreased by 5 points from 67% to 62%. There were a few significant outages or disruptions that may have impacted user perceptions across the entire digital environment in March. There may also have been seasonal reasons for the shift based on historical trend analysis. Patents observed that again the net promoter ratios for overall satisfaction slightly decreased for all surveys and most questions within the surveys, indicating more users moved out of the promoter group and into the neutral or detractor groups. Screen reader support enabled. ",1642719,821360,169,169,2,This interaction increased my confidence in the USPTO.,14,15,34,32,74,106,3.81,trust
2021,2,2139,Department of Homeland Security,8,Federal Emergency Management Agency,"FEMA’s mission is to help people before, during and after disasters. 2020 set a new annual record of 22 “billion dollar” disasters - for the first time in the history, FEMA responded to simultaneous disasters in Washington, D.C., five territories and all 50 states for a record 230 presidentially declared emergencies, supporting more than 25 million people affected by natural disasters.",12,Applying for disaster assistance,IA-Contact Survey,Follow-up Survey after Contacting FEMA Helpline or Going On-Line for Assistance,automated_phone,TRUE,,389550,5932,2075,0,2,NONE,0,0,0,0,0,0,,trust
2021,2,2139,Department of Homeland Security,8,Federal Emergency Management Agency,"FEMA’s mission is to help people before, during and after disasters. 2020 set a new annual record of 22 “billion dollar” disasters - for the first time in the history, FEMA responded to simultaneous disasters in Washington, D.C., five territories and all 50 states for a record 230 presidentially declared emergencies, supporting more than 25 million people affected by natural disasters.",12,Applying for disaster assistance,IA-Assessment  Survey,Follow-up Survey after Receiving Assistance,automated_phone,TRUE,,619170,14896,2848,2847,2,27) Customer Service and Expectations: How would you rate FEMA…On meeting your expectations,457,216,390,429,1355,1784,3.71,trust
2021,2,2139,Department of Homeland Security,8,Federal Emergency Management Agency,"FEMA’s mission is to help people before, during and after disasters. 2020 set a new annual record of 22 “billion dollar” disasters - for the first time in the history, FEMA responded to simultaneous disasters in Washington, D.C., five territories and all 50 states for a record 230 presidentially declared emergencies, supporting more than 25 million people affected by natural disasters.",12,Applying for disaster assistance,FEMA - IA-Initial Survey,Follow-up Survey after Registering for Assistance with a FEMA Rep or On-Line,automated_phone,TRUE,,389550,3702,1375,0,2,NONE,0,0,0,0,0,0,,trust
2021,1,2139,Department of Homeland Security,27,Transportation Security Administration,"The Transportation Security Administration (TSA) is responsible for protecting the nation’s transportation systems to ensure freedom of movement for people and commerce. Within TSA, Domestic Aviation Operations is responsible for nearly 440 Federalized airports, screening more than 2 million passengers daily and 750 million every year and Surface Operations secures a wide U.S. transportation network of roadways, railroad tracks, tunnels, ports, and pipelines.",20,Contacting the TSA contact center,TSA Contact Center (TCC) - Email,Follow-up Survey after Email Interaction with TSA Contact Center,email,TRUE,"Looking Back The Q1 email survey results were the last assessment of our old contact center vendor/ agents, as the contract switched from the old vendor to the new vendor on 11/29/2020 (email contacts from 09/2020 through 11/2020, who responded from 10/2020 through 12/2020). Due to transition, we had to reduce our normal business hours in 11/2020. In addition, the old vendor experienced significant staffing issues during the same month. We can see the negative results of both of these facts in our Process / Efficiency score. The Q1 email survey results were the first assessment using our newly approved PRA survey. With this survey, we added a Trust / Confidence question and made a few other minor adjustments to the questions asked. We are interested to see how the new Trust / Confidence question trends over the next few quarters. Looking Forward The Q2 email survey results will be the first assessment of our new contact center vendor/ agents (email contacts from 12/2020 through 02/2021, who responded from 01/2021 through 03/2021). With the new vendor, we returned to our normal business hours; however, we also brought onboard nearly 100 new agents. We expect the results to reflect these facts. Finally, a major goal for FY21 is to complete a second Passenger Experience Survey (last conducted in FY19), to collect valuable feedback at a much more direct touchpoint: the screening checkpoint.",13982,3523,498,497,2,This interaction increased my confidence in TSA,185,71,74,72,95,167,2.64,trust
2021,1,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,Accounts Management Toll-Free Telephone Service,After calling the IRS Toll-Free line for service over the phone.,automated_phone,TRUE,"The IRS successfully calculated and started issuing Economic Impact Payments (EIP) just 14 days after the passage of the CARES Act legislation; and simultaneously delivered two special tools on IRS.gov, in a compressed timeframe, to help taxpayers understand the law and provide millions of people who don’t normally file a tax return a way to quickly register for these payments. A recent Treasury Inspector General for Tax Administration report indicated that the IRS correctly computed the payment amount for approximately 98 percent of these EIPs. The IRS calculated and issued the second round of payments (EIP2) just two days after passage of the Coronavirus and Relief Supplemental Appropriations Act of 2021 on December 27, 2020. A total of 147 million EIPs totaling $142 billion. For online survey responses, negative scores were most often driven by frustration with delays in tax return processing and refund distribution caused by the pandemic. A high volume of respondents were looking for information related to the first or second EIP and also score more negatively than the average visitor.",3770404,51789,2246,2172,2,This interaction increased my trust in the IRS,189,89,338,432,1124,1556,4.02,trust
2021,1,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,Field Assistance Appointment Service Follow-Up,Customers who take the initial Field Assistance Appointment Service survey can opt-in to participate in a follow-up survey approximately one month later.,email,TRUE,"The IRS successfully calculated and started issuing Economic Impact Payments (EIP) just 14 days after the passage of the CARES Act legislation; and simultaneously delivered two special tools on IRS.gov, in a compressed timeframe, to help taxpayers understand the law and provide millions of people who don’t normally file a tax return a way to quickly register for these payments. A recent Treasury Inspector General for Tax Administration report indicated that the IRS correctly computed the payment amount for approximately 98 percent of these EIPs. The IRS calculated and issued the second round of payments (EIP2) just two days after passage of the Coronavirus and Relief Supplemental Appropriations Act of 2021 on December 27, 2020. A total of 147 million EIPs totaling $142 billion. For online survey responses, negative scores were most often driven by frustration with delays in tax return processing and refund distribution caused by the pandemic. A high volume of respondents were looking for information related to the first or second EIP and also score more negatively than the average visitor.",220454,564,85,70,2,This interaction increased my trust in the IRS,9,6,17,15,23,38,3.53,trust
2021,1,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,Field Assistance Appointment Service,When calling to schedule an appointment for face-to-face service.,automated_phone,TRUE,"The IRS successfully calculated and started issuing Economic Impact Payments (EIP) just 14 days after the passage of the CARES Act legislation; and simultaneously delivered two special tools on IRS.gov, in a compressed timeframe, to help taxpayers understand the law and provide millions of people who don’t normally file a tax return a way to quickly register for these payments. A recent Treasury Inspector General for Tax Administration report indicated that the IRS correctly computed the payment amount for approximately 98 percent of these EIPs. The IRS calculated and issued the second round of payments (EIP2) just two days after passage of the Coronavirus and Relief Supplemental Appropriations Act of 2021 on December 27, 2020. A total of 147 million EIPs totaling $142 billion. For online survey responses, negative scores were most often driven by frustration with delays in tax return processing and refund distribution caused by the pandemic. A high volume of respondents were looking for information related to the first or second EIP and also score more negatively than the average visitor.",220454,40471,1738,1705,2,This interaction increased my trust in the IRS,200,74,194,291,946,1237,4,trust
2021,1,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,IRS.gov Online Account,Random selection after successfully authenticating into the IRS Online Account application on a computer,computer,TRUE,"The IRS successfully calculated and started issuing Economic Impact Payments (EIP) just 14 days after the passage of the CARES Act legislation; and simultaneously delivered two special tools on IRS.gov, in a compressed timeframe, to help taxpayers understand the law and provide millions of people who don’t normally file a tax return a way to quickly register for these payments. A recent Treasury Inspector General for Tax Administration report indicated that the IRS correctly computed the payment amount for approximately 98 percent of these EIPs. The IRS calculated and issued the second round of payments (EIP2) just two days after passage of the Coronavirus and Relief Supplemental Appropriations Act of 2021 on December 27, 2020. A total of 147 million EIPs totaling $142 billion. For online survey responses, negative scores were most often driven by frustration with delays in tax return processing and refund distribution caused by the pandemic. A high volume of respondents were looking for information related to the first or second EIP and also score more negatively than the average visitor.",3290256,1055834,12301,12300,2,This interaction increased my trust in the IRS,1476,984,3198,2952,3690,6642,3.52,trust
2021,1,2123,Internal Revenue Service,18,Internal Revenue Service,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds.",16,Visiting IRS.gov,IRS.gov,Random selection after visiting any IRS.gov PUP page on a computer. 50/50 split of being presented with main survey or beta survey,computer,TRUE,"The IRS successfully calculated and started issuing Economic Impact Payments (EIP) just 14 days after the passage of the CARES Act legislation; and simultaneously delivered two special tools on IRS.gov, in a compressed timeframe, to help taxpayers understand the law and provide millions of people who don’t normally file a tax return a way to quickly register for these payments. A recent Treasury Inspector General for Tax Administration report indicated that the IRS correctly computed the payment amount for approximately 98 percent of these EIPs. The IRS calculated and issued the second round of payments (EIP2) just two days after passage of the Coronavirus and Relief Supplemental Appropriations Act of 2021 on December 27, 2020. A total of 147 million EIPs totaling $142 billion. For online survey responses, negative scores were most often driven by frustration with delays in tax return processing and refund distribution caused by the pandemic. A high volume of respondents were looking for information related to the first or second EIP and also score more negatively than the average visitor.",71014169,3800681,24667,24667,2,This interaction increased my trust in the IRS,4687,3207,8633,5427,2713,8140,2.93,trust
2021,3,2139,Department of Homeland Security,8,Federal Emergency Management Agency,"FEMA’s mission is to help people before, during and after disasters. 2020 set a new annual record of 22 “billion dollar” disasters - for the first time in the history, FEMA responded to simultaneous disasters in Washington, D.C., five territories and all 50 states for a record 230 presidentially declared emergencies, supporting more than 25 million people affected by natural disasters.",12,Applying for disaster assistance,IA-Assessment  Survey,Follow-up Survey after Receiving Assistance,automated_phone,TRUE,"During the third quarter of Fiscal Year (FY) 2021, FEMA conducted 2,995 Initial and Contact surveys from survivors of 9 Presidentially declared disasters (DRs: 4577-LA, 4586-TX, 4587-OK, 4590-LA, 4595-KY, 4596-AL, 4601-TN, 4605-WV, 4606-LA). There was no significant decrease in customer satisfaction during the initial registration process, and we continue to exceed expectations in all areas of customer service (courtesy, showing interest in helping, overall customer service). There was a decrease in satisfaction during continued recovery process with the simplicity of the automated information system (-5%), and the responsiveness of FEMA representatives during calls or online at DisasterAssistance.gov (-6%). FEMA continues to exceed expectations in all areas of site inspection services. (On a 5 point scale, FEMA defines a score of 4.5-5 = exceeded expectations; 4-4.49 = meets; below 4 = doesn’t meet.) In the third quarter of FY2021, FEMA implemented a new form of assistance to support the cost of funerals of individuals who passed away from COVID-19. Upon roll-out of this new assistance method, FEMA experienced a surge in phone calls to our call centers. Though FEMA added dedicated resources (including call center agents) solely for funeral assistance, this surge in activity may have contributed to decreased scores for the responsiveness of FEMA representatives. Looking ahead, for the fourth quarter of FY2021, FEMA will be reporting on a new customer satisfaction survey consisting of seven questions provided by OMB. This new FEMA CX survey successfully launched on Monday, July 19, 2021. Results of these questions will be submitted to FEMA’s CX team quarterly for review, and published in a public-facing summary dashboard on performance.gov alongside other agencies’ data from the same seven questions.",350305,14125,2004,2003,2,27) Customer Service and Expectations: How would you rate FEMA…On meeting your expectations,330,144,283,299,947,1246,3.69,trust
2021,3,2139,Department of Homeland Security,8,Federal Emergency Management Agency,"FEMA’s mission is to help people before, during and after disasters. 2020 set a new annual record of 22 “billion dollar” disasters - for the first time in the history, FEMA responded to simultaneous disasters in Washington, D.C., five territories and all 50 states for a record 230 presidentially declared emergencies, supporting more than 25 million people affected by natural disasters.",12,Applying for disaster assistance,IA-Contact Survey,Follow-up Survey after Contacting FEMA Helpline or Going On-Line for Assistance,automated_phone,TRUE,"During the third quarter of Fiscal Year (FY) 2021, FEMA conducted 2,995 Initial and Contact surveys from survivors of 9 Presidentially declared disasters (DRs: 4577-LA, 4586-TX, 4587-OK, 4590-LA, 4595-KY, 4596-AL, 4601-TN, 4605-WV, 4606-LA). There was no significant decrease in customer satisfaction during the initial registration process, and we continue to exceed expectations in all areas of customer service (courtesy, showing interest in helping, overall customer service). There was a decrease in satisfaction during continued recovery process with the simplicity of the automated information system (-5%), and the responsiveness of FEMA representatives during calls or online at DisasterAssistance.gov (-6%). FEMA continues to exceed expectations in all areas of site inspection services. (On a 5 point scale, FEMA defines a score of 4.5-5 = exceeded expectations; 4-4.49 = meets; below 4 = doesn’t meet.) In the third quarter of FY2021, FEMA implemented a new form of assistance to support the cost of funerals of individuals who passed away from COVID-19. Upon roll-out of this new assistance method, FEMA experienced a surge in phone calls to our call centers. Though FEMA added dedicated resources (including call center agents) solely for funeral assistance, this surge in activity may have contributed to decreased scores for the responsiveness of FEMA representatives. Looking ahead, for the fourth quarter of FY2021, FEMA will be reporting on a new customer satisfaction survey consisting of seven questions provided by OMB. This new FEMA CX survey successfully launched on Monday, July 19, 2021. Results of these questions will be submitted to FEMA’s CX team quarterly for review, and published in a public-facing summary dashboard on performance.gov alongside other agencies’ data from the same seven questions.",350775,5595,1783,0,2,NONE,0,0,0,0,0,0,,trust
2021,3,2139,Department of Homeland Security,8,Federal Emergency Management Agency,"FEMA’s mission is to help people before, during and after disasters. 2020 set a new annual record of 22 “billion dollar” disasters - for the first time in the history, FEMA responded to simultaneous disasters in Washington, D.C., five territories and all 50 states for a record 230 presidentially declared emergencies, supporting more than 25 million people affected by natural disasters.",12,Applying for disaster assistance,IA-Initial Survey,Follow-up Survey after Registering for Assistance with a FEMA Rep or On-Line,automated_phone,TRUE,"During the third quarter of Fiscal Year (FY) 2021, FEMA conducted 2,995 Initial and Contact surveys from survivors of 9 Presidentially declared disasters (DRs: 4577-LA, 4586-TX, 4587-OK, 4590-LA, 4595-KY, 4596-AL, 4601-TN, 4605-WV, 4606-LA). There was no significant decrease in customer satisfaction during the initial registration process, and we continue to exceed expectations in all areas of customer service (courtesy, showing interest in helping, overall customer service). There was a decrease in satisfaction during continued recovery process with the simplicity of the automated information system (-5%), and the responsiveness of FEMA representatives during calls or online at DisasterAssistance.gov (-6%). FEMA continues to exceed expectations in all areas of site inspection services. (On a 5 point scale, FEMA defines a score of 4.5-5 = exceeded expectations; 4-4.49 = meets; below 4 = doesn’t meet.) In the third quarter of FY2021, FEMA implemented a new form of assistance to support the cost of funerals of individuals who passed away from COVID-19. Upon roll-out of this new assistance method, FEMA experienced a surge in phone calls to our call centers. Though FEMA added dedicated resources (including call center agents) solely for funeral assistance, this surge in activity may have contributed to decreased scores for the responsiveness of FEMA representatives. Looking ahead, for the fourth quarter of FY2021, FEMA will be reporting on a new customer satisfaction survey consisting of seven questions provided by OMB. This new FEMA CX survey successfully launched on Monday, July 19, 2021. Results of these questions will be submitted to FEMA’s CX team quarterly for review, and published in a public-facing summary dashboard on performance.gov alongside other agencies’ data from the same seven questions.",339610,3540,1212,0,2,NONE,0,0,0,0,0,0,,trust
2021,3,2133,Small Business Administration,23,Small Business Administration,"Serving the nation’s 31.7 million small business, in 2020, the Small Business Administration distributed more than $29 billion in loans and investments to small businesses, provided business coaching to nearly 750,000 entrepreneurs, distributed more than $195 billion in disaster loans, and assisted with 275 active disaster assistance declarations.",27,"Accessing information, resources and capital to start a new business",Field Operations,Follow-up Survey upon final approval of new site or reapproval of existing site.,email,TRUE,,358751,358751,142,138,2,This interaction increased my confidence in the SBA.,21,6,5,23,83,106,4.02,trust
2021,3,2129,Department of Veterans Affairs,21,Veterans Health Administration,"The Veterans Health Administration (VHA) is the largest integrated health care system in the United States, providing care at 1,293 health care facilities, including 171 VA Medical Centers and 1,112 outpatient sites of care of varying complexity to over 9 million Veterans enrolled in the VA health care program.",2,Receiving outpatient services,Outpatient Services,Follow-up Survey upon receiving Outpatient Services,email,TRUE,,9085572,1893559,306701,306966,2,I trust VA to fulfill our country’s commitment to Veterans,3629,5033,21046,75755,201503,277258,4.52,trust
2021,3,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,AMA Filing a Request for Decision Review,e-mail survey with online response collection,email,TRUE,,18876,18876,3570,3570,2,I trust VA to fulfill our country's commitment to Veterans.,539,421,703,950,957,1907,3.38,trust
2021,3,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Insurance Call Center,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,email,TRUE,,6447,6005,556,556,2,I trust VA to fulfill our country’s commitment to Veterans.,28,16,54,127,331,458,4.29,trust
2021,3,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Education Call Center,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,email,TRUE,,291201,44890,1899,1899,2,I trust VA to fulfill our country’s commitment to Veterans.,145,73,223,409,1049,1458,4.13,trust
